Sex,Age,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
F,18,7,99,Yes,9,1,910
M,17,4,82,No,4,2,650
F,15,8,51,Yes,7,2,450
M,15,5,52,Yes,5,2,360
M,16,7,75,No,8,5,660
M,16,3,78,No,9,6,610
M,16,7,73,Yes,5,6,630
M,17,8,45,Yes,4,6,420
M,15,5,77,No,8,2,610
F,15,4,89,No,4,0,690
F,15,8,91,No,4,5,840
M,15,8,79,No,6,2,730
M,15,3,47,No,9,2,270
F,15,6,47,No,4,2,330
F,15,5,79,No,7,8,680
F,16,2,72,No,4,3,430
F,16,8,73,Yes,8,4,670
F,16,6,83,Yes,7,2,700
M,17,2,54,Yes,4,9,300
M,16,5,75,No,7,0,630
F,15,1,99,Yes,4,3,710
M,15,6,96,No,9,0,850
F,16,9,74,Yes,7,6,730
F,16,1,85,No,5,6,570
M,15,3,61,No,6,3,350
M,16,7,62,Yes,7,4,490
M,15,4,79,No,8,9,660
M,15,9,84,Yes,6,6,830
M,16,3,94,Yes,6,5,740
M,16,5,90,Yes,4,3,740
F,15,3,61,Yes,7,3,390
M,15,7,44,Yes,9,1,360
F,15,5,70,Yes,6,9,580
M,15,9,52,Yes,8,1,470
M,16,7,67,Yes,9,3,600
F,15,2,97,Yes,9,4,740
F,15,4,59,No,8,3,420
F,16,9,72,No,8,2,680
F,15,2,55,Yes,4,1,320
F,15,9,68,No,5,3,640
M,16,5,62,No,7,4,450
M,15,2,63,Yes,6,0,390
F,15,4,73,Yes,7,0,580
F,15,7,46,No,9,5,360
M,16,8,77,Yes,6,4,710
F,15,3,76,Yes,4,3,540
F,16,1,43,Yes,7,0,170
M,16,4,73,No,4,6,540
M,15,2,81,Yes,4,3,580
F,15,8,61,No,7,2,530
F,16,4,44,Yes,7,6,270
M,15,2,89,Yes,6,1,650
M,15,6,81,No,9,9,750
F,15,6,62,Yes,9,0,520
M,15,4,93,No,8,3,780
M,16,6,99,No,4,7,910
F,15,2,54,Yes,9,5,330
F,15,2,70,Yes,5,8,470
M,15,4,98,No,6,0,780
M,16,8,48,No,6,0,380
M,16,7,82,Yes,8,4,700
F,16,9,97,Yes,8,5,980
M,16,8,92,Yes,4,7,870
F,16,5,64,Yes,6,2,490
F,15,2,64,Yes,6,5,410
F,16,5,88,No,5,2,710
F,15,8,60,No,4,7,540
M,16,9,48,No,4,3,420
F,15,9,94,No,9,1,910
M,15,1,87,Yes,8,8,610
F,16,9,77,No,9,9,740
M,15,7,61,Yes,4,7,540
F,15,9,82,Yes,5,5,810
F,16,8,62,Yes,4,2,520
M,16,1,88,Yes,9,1,650
M,15,8,43,Yes,7,3,360
F,15,8,68,No,7,3,610
M,16,3,54,Yes,5,0,350
F,17,1,40,Yes,8,8,150
M,16,8,93,Yes,6,9,880
M,15,3,69,No,4,7,450
M,15,3,68,Yes,9,6,490
F,15,1,59,Yes,8,5,330
F,15,5,72,Yes,9,2,600
M,15,7,80,No,8,3,710
M,15,9,83,Yes,4,1,810
F,16,7,75,No,6,6,670
F,15,9,99,No,4,1,950
F,16,8,61,Yes,6,9,580
F,16,2,52,No,9,0,290
F,16,1,46,No,5,5,210
F,15,7,47,Yes,6,3,380
F,16,7,67,Yes,8,7,600
F,16,8,84,Yes,5,0,760
M,15,5,82,Yes,9,8,690
M,15,3,48,No,7,5,300
F,16,8,64,No,5,1,570
F,16,6,95,Yes,6,7,810
M,16,3,55,Yes,5,4,360
F,16,1,49,Yes,9,4,250
M,16,3,50,No,5,4,270
F,16,5,70,Yes,9,6,610
F,15,3,51,No,7,6,340
M,15,1,99,No,6,9,760
M,15,5,70,No,8,6,570
F,15,7,53,No,5,9,450
F,15,7,90,Yes,4,1,760
M,16,9,83,Yes,8,7,830
F,15,3,71,Yes,5,0,500
M,16,7,89,No,8,1,810
F,15,1,92,No,4,6,660
F,16,4,56,Yes,8,3,380
F,16,4,74,No,8,9,560
F,15,5,40,No,4,9,250
M,15,7,68,No,4,8,560
F,16,7,90,Yes,4,8,820
M,15,4,43,Yes,7,2,230
F,16,7,62,Yes,9,2,560
M,17,3,67,No,9,8,460
F,15,6,55,Yes,4,9,430
M,15,2,51,Yes,9,7,300
M,15,9,92,Yes,8,0,920
F,16,5,60,No,4,5,450
M,16,6,84,No,5,6,700
F,16,4,56,No,4,7,360
F,15,7,79,No,4,1,710
F,15,9,52,No,9,0,490
M,19,7,91,Yes,6,3,820
M,18,1,97,Yes,8,0,710
M,16,1,71,No,9,1,430
M,15,9,76,No,8,2,770
F,15,9,89,Yes,5,3,860
F,17,4,54,No,7,5,340
M,16,9,51,No,6,7,490
M,15,3,88,No,5,8,690
F,15,7,96,No,5,3,840
M,17,6,54,No,8,0,410
F,16,8,73,Yes,6,4,680
M,16,9,45,Yes,8,4,440
F,15,5,56,No,7,8,410
F,15,1,87,No,8,5,580
M,16,3,88,Yes,4,4,680
F,15,8,96,No,8,9,940
M,16,6,59,Yes,4,9,470
M,17,8,48,No,5,4,400
F,15,9,98,Yes,7,7,1000
F,15,4,44,Yes,9,0,230
M,15,1,62,No,4,4,360
M,16,1,72,No,7,0,470
F,15,4,77,Yes,8,6,600
F,18,7,95,No,9,6,830
F,16,2,53,Yes,8,9,330
F,15,3,56,No,5,7,360
M,19,1,96,No,8,6,740
F,17,5,58,No,4,8,420
F,15,1,72,Yes,5,7,470
F,17,8,40,Yes,7,7,310
M,18,1,52,No,5,2,260
F,16,1,85,Yes,7,9,580
F,16,2,66,No,6,3,420
M,17,2,45,Yes,4,3,180
F,15,6,98,No,4,0,850
M,16,7,45,Yes,7,5,360
F,17,5,72,Yes,8,1,580
F,17,1,69,Yes,9,8,450
F,16,1,85,Yes,8,0,600
F,16,3,74,Yes,6,0,560
M,16,2,62,Yes,7,9,420
F,16,5,49,No,6,5,330
F,16,6,90,No,7,0,770
F,16,7,58,Yes,6,2,510
F,16,4,90,No,7,9,720
M,17,7,67,Yes,4,1,570
M,16,8,62,No,6,8,530
M,16,1,43,No,6,4,160
F,17,6,59,No,7,5,450
F,16,8,58,No,5,1,490
F,17,5,81,Yes,5,7,670
F,16,4,66,No,4,5,490
F,17,2,96,No,8,7,730
F,16,6,73,No,8,7,650
M,16,6,43,Yes,4,0,270
F,17,1,95,No,8,6,720
M,17,9,77,Yes,9,1,740
M,16,6,46,Yes,9,7,380
M,17,3,87,No,9,1,670
M,16,4,46,Yes,9,3,280
F,16,4,89,No,7,1,730
M,17,3,91,No,5,6,720
F,17,3,65,No,4,4,420
M,16,3,65,No,7,8,470
M,17,4,93,No,9,4,770
M,17,7,58,No,4,7,490
M,16,4,48,No,5,1,300
F,16,9,59,Yes,8,2,540
F,17,1,81,Yes,7,5,560
M,17,8,84,No,5,6,750
M,16,7,89,No,4,9,780
M,17,2,55,Yes,6,7,320
M,16,8,93,No,7,2,890
M,16,1,56,Yes,4,6,290
M,16,9,61,Yes,4,7,570
F,17,9,52,No,5,9,480
M,17,2,51,No,4,5,270
F,16,7,49,Yes,7,3,380
M,17,3,40,Yes,9,5,180
F,16,7,71,No,7,8,660
M,16,9,69,No,4,2,650
F,16,4,47,Yes,5,1,270
F,17,1,60,Yes,7,4,330
F,19,2,61,Yes,6,6,370
M,17,1,57,No,9,2,290
F,16,5,41,No,8,4,260
M,18,5,87,No,5,3,720
F,17,7,83,Yes,5,6,770
F,17,9,48,Yes,8,1,450
M,17,9,42,No,8,6,410
M,18,3,93,Yes,7,1,730
M,17,3,65,Yes,4,2,430
M,17,3,60,Yes,4,4,390
M,17,4,69,Yes,6,6,540
M,17,8,67,Yes,9,5,620
F,16,6,75,No,4,6,630
F,18,8,65,No,6,5,590
M,16,1,73,No,6,0,460
F,18,8,47,No,5,4,420
M,17,4,49,No,5,0,300
F,17,1,87,Yes,9,6,630
M,18,8,94,Yes,7,3,890
F,17,4,82,Yes,8,4,620
M,17,6,89,No,8,0,770
F,17,8,93,Yes,9,7,880
M,17,4,53,Yes,6,3,350
F,16,3,79,Yes,9,2,600
M,16,9,94,No,8,0,920
M,16,3,54,Yes,6,3,380
M,17,9,56,Yes,8,2,560
F,16,2,92,No,7,7,700
M,17,2,57,No,5,8,350
F,18,2,71,Yes,5,4,470
M,17,6,77,No,6,8,660
